[u'RetailData', u'Fashion Bug', u'Summit Retail Solutions', u'IZ-ON Media', u'Reliant Energy', u'Schawk', u'Retail Group of America', u'Retail Business Development', u'Winston Retail', u'Tire Kingdom', u'ATA Retail', u'The Retail Outsource', u'Bridgestone Retail Operations', u'Vail Resorts Retail', u'Ascena Retail Group', u'Retail Data Systems', u'Icebreaker', u'StratMar', u'Apollo Retail Specialists', u'Marshall Retail Group', u'Franklin Retail Solutions', u'KraftMaid Cabinetry', u'Retail Merchandising Solutions Inc', u"Sparty's Retail Food Services", u'Retail Lockbox', u'AMS Retail Solutions', u'Snap Retail', u'Kantar Retail', u'Discount Retail Store Services', u'Schurman Retail Group', u'Wolf Retail Solutions', u'Powerhouse Retail Services', u'RetailComm', u'Retail Properties of America', u'Retail Concepts', u'Horizon Retail Construction', u'LS Travel Retail North American', u'XSRE', u'Efficient Collaborative Retail Marketing', u'Surf Style Retail Management', u'Retail Solutions', u'Mercury Retail Services', u'ARBA Retail Systems', u'www.Glasses.com', u'Wink NYC', u'Retail Decisions', u'gategroup', u'Bunzl', u'Streetsense', u'Rhodes Retail Services', u'National Retail Systems, Inc.', u'National Retail Federation', u'Telstra', u'Credibly', u'Apogee Retail', u'Retail Imaging', u'AEON', u'GAME Digital', u'Airport Retail Management', u'Renault', u'SAS Retail', u'Utc Retail', u'Sequoia Retail Systems', u'Harbor Industries', u'Prism Retail Services', u'Prospect Retail Solutions', u'Starwood Retail Partners', u'Retail Cloud Technologies', u'Retail Brand Alliance', u'CHOICE! Energy', u'CRMI', u'Retail Technology Group', u'Backwoods Retail', u'Quantum Retail Technology', u'ASC', u'EMERSON RETAIL SERVICES', u'Retail Network', u'Vestis Retail Group', u'TD Retail Card Services', u'Surf Style Retail', u'EJE Retail Duty Free', u'Info Retail', u'Urban Retail Properties', u'Martin Retail Group', u'Yankee Retail', u'Retail Integrity Merchandising Solutions', u'Retail Information Systems', u'National Retail Properties', u'United Retail Marketing', u'Rila', u'Virgin Media', u'Lagard\xe8re', u'Dot2Dot Retail Group', u'Vendaria', u'Retail Dimensions', u'Integrity Retail Distribution', u'IRM', u'New Look', u'Security Retail Group', u'CT Corp', u'United Retail Service', u'RMSA', u'Certified Retail Solutions', u'Mi9 retail', u'Pivotal Retail Group', u'Natural Retail Group', u'365 Retail Markets', u'OCS Group', u'Vishal', u'AM Retail Group', u'Retail Petroleum Consultants', u'Sobeys', u'Process Retail Group', u'Retail Ventures', u'HDS Retail', u'Gotham Beauty', u'Retail Technology Experts', u'New England Retail Express', u'IMRG', u'CM Retail Management', u'Retail Marketing Pros', u'THE One', u'Hull Storey Retail Group', u'FAME Retail', u'Retail Realm', u'Integrated Retail', u'CBR Speciatly Retail Inc', u'LRP Consultants', u'Urban Girl Accessories', u'RSPA', u'RIS News', u'E3 Retail', u'hmv', u'PMG retail and entertainment', u'R2F', u'Gitanjali Jewels', u'H20 Salon &amp; Retail Center', u'H&R; Retail', u'CRS Group', u'Aditya Birla Retail', u'E-Plus Gruppe', u'ProLogic Retail Services', u'United Commercial Retail Service', u'Retail Logistics', u'Macintosh Retail Group', u'A.W. Bravis Retail Marketing', u'InStock Companies', u'Niche Retail', u'Evisu', u'Retail Anywhere', u'American Retail Supply', u'Retail Inkjet Solutions', u'Retail Services', u'Hong Kong Retail Management Association', u'Retail Store Construction', u'DRT', u'Heritage Retail Service Group', u'Wolfe Retail Services', u'Andr\u0102\u0160s Imaging &amp; Graphics', u'Selfridges', u'King Retail Solutions', u'Value Retail', u'Calvert Retail', u'First Retail', u'Dwell Retail', u'IRCPL', u'Thaib Foods and Retail', u'G\xf6rtz', u'Future Value Retail', u'Woven Retail', u'The Retail Performance Company', u'Koutons Retail India', u'SM Retail', u'Music world Retail', u'Maaj Retail Solutions', u'NSB Retail Systems', u'Retail Assistance', u'Boston Retail Products', u'MTH Retail Group', u'RASEC RETAIL', u'Planet M Retail', u'Sports one', u'IT Retail', u'Retail Insights', u'Retail Radio', u'Royalty House Retail', u'Arthur Ryan Retail Centre', u'EFG Retail Services', u'Venue Retail', u'Galleria Retail Technology Solutions', u'CQCD', u'Bicycle Retail Services', u'SBS Retail', u'Van Tol Retail', u'High Line Retail', u'Maxrange Retail', u'Kersten Retail', u'Travel Retail Concepts', u'Prime Retail Services', u'Strata Retail and Technology Services', u'Laura Degiovanni Retail Development', u'Happytel Retail Group', u'Simple Retail', u'Platt Retail Institute', u'K3 Retail', u'Retail Reign', u'Van Deursen retail', u'Store One Retail India', u'Fila Retail', u'X5 Retail Group', u'Retail Finance Intelligence', u'The Tropical Retail Company', u'Retail Element', u'Him Retail', u'Retail Pro International', u'Wilson Retail', u'Pop Up Retail', u'Waterstone Retail Development', u'Stormfront Retail', u'Olive Tree Retail', u'Fusion Retail Analytics', u'Hospitality &amp; Retail Recruitment', u'Sonoma Retail Wine Bar &amp; Restaurant', u'All Your Retail.Com', u'Retail Systems International', u'eMachines', u'Retail Systems Limited', u'Tulip Retail', u'TKWs Retail School', u'Boerenbond Retail', u'GSP Power Projects', u'Baazar Retail', u'Reliance Retail Limited', u'Headquarter', u'Seedlings Retail', u'James Convenience Retail', u'Vindico Retail', u'INET Retail', u'Retail Apparel Group', u'Retail Marketing Institute', u'NEXT Retail India', u'Retail Revision', u'Retail Expert', u'Retail Service', u'Eshaan Retail Group', u'Remy Cointreau Travel Retail Americas', u'TNG Retail India', u'Global Retail Brands', u'IP Ventures', u'Musgrave Group', u'OSL Retail Services', u'VOW Retail', u'Spencer\xe2&euro;&trade;s Retail', u'Retail Human Resources', u'JAG Footwear, Accessories and Retail', u'Pakiza', u'Dixons Retail', u'IMS Retail', u'Jain Retail &amp; Packs', u'MyHobbyStore', u'CRS RETAIL SYSTEMS', u'Task Retail Technology', u'Dimonte Retail', u'Retail Health', u'Spring Leaf Retail', u'Future Retail Limited', u'Betsy Johnson', u'Catmoss Retail', u'Kamla Retail Limited', u'Lincoln Retail']
Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
RetailData	Overall	Other Retail Stores	Retail	66	2.2	2.0	2.7	2.1	1.7	1.7	0.3	Christine Cottrell	38
Fashion Bug	Overall	
Summit Retail Solutions	Overall	Advertising &amp; Marketing	Business Services	54	3.6	3.5	2.9	3.6	3.5	3.7	0.7	Chad Powers	0
IZ-ON Media	Overall	Motion Picture Production &amp; Distribution	Media	57	2.3	3.0	3.8	2.4	2.6	2.1	0.3	Ahmad Ouri	30
Reliant Energy	Overall	Utilities	Oil, Gas, Energy &amp; Utilities	57	2.8	2.4	3.2	2.3	2.9	2.7	0.6	Elizabeth Killinger	76
Schawk	Overall	Advertising &amp; Marketing	Business Services	57	2.4	2.5	3.0	2.3	2.9	2.2	0.4	MichaeI Komasinski	43
Retail Group of America	Overall	Department, Clothing, &amp; Shoe Stores	Retail	49	1.7	1.6	1.8	1.7	1.9	2.0	0.2		
Retail Business Development	Overall	Consumer Electronics &amp; Appliances Stores	Retail	45	2.6	2.4	2.8	2.3	2.6	2.7	0.4	JImmy Ralph	61
Winston Retail	Overall	Department, Clothing, &amp; Shoe Stores	Retail	51	3.6	3.4	4.0	3.1	2.8	2.5	0.8	Jan Croatt	85
Tire Kingdom	Overall	Automotive Parts &amp; Accessories Stores	Retail	43	2.5	1.7	1.9	1.7	2.3	1.9	0.1	Orland M. Wolford	45
ATA Retail	Overall	Vehicle Dealers	Retail	46	2.6	2.5	3.5	2.5	2.1	2.1	0.5		
The Retail Outsource	Overall	Advertising &amp; Marketing	Business Services	41	2.8	2.4	3.0	2.7	2.6	2.9	0.4	Brett Beveridge	70
Bridgestone Retail Operations	Overall	Auto Repair &amp; Maintenance	Construction, Repair &amp; Maintenance	43	3.2	2.8	2.4	2.6	3.3	2.9	0.4	Matt Hoskins	47
Vail Resorts Retail	Overall	
Ascena Retail Group	Overall	Department, Clothing, &amp; Shoe Stores	Retail	33	2.9	3.2	3.4	2.7	3.3	2.5	0.6		
Retail Data Systems	Overall	Computer Hardware &amp; Software	Information Technology	34	2.8	2.8	2.6	2.8	2.8	2.7	0.5	Brian Podraza	74
Icebreaker	Overall	Consumer Products Manufacturing	Manufacturing	38	2.3	2.4	3.2	1.9	2.5	2.0	0.3	Rob Fyfe	49
StratMar	Overall	Consulting	Business Services	37	3.2	3.2	3.6	3.3	3.2	3.2	0.6	Ethan Charas	71
Apollo Retail Specialists	Overall	Advertising &amp; Marketing	Business Services	27	3.2	2.9	2.9	2.7	2.9	3.0	0.6	Mike Sunderland	67
Marshall Retail Group	Overall	Department, Clothing, &amp; Shoe Stores	Retail	27	2.7	2.6	2.6	2.2	2.3	3.0	0.4	Michael C. Wilkins	67
Franklin Retail Solutions	Overall	Consulting	Business Services	19	3.2	2.7	3.5	2.8	2.4	2.3	0.6		
KraftMaid Cabinetry	Overall	Wood Product Manufacturing	Manufacturing	23	2.6	2.0	2.1	1.6	3.2	2.2	0.4	Timothy Wadhams	23
Retail Merchandising Solutions Inc	Overall	Consulting	Business Services	16	2.3	2.1	2.5	2.1	2.5	1.9	0.3	Jon Johnstone	75
Sparty's Retail Food Services	Overall	Catering &amp; Food Service Contractors	Restaurants, Bars &amp; Food Services	16	3.2	3.4	3.6	3.2	2.7	3.5	0.8		
Retail Lockbox	Overall	Advertising &amp; Marketing	Business Services	14	1.6	1.8	2.8	1.6	1.4	1.2	0.1	Craig Dawson	0
AMS Retail Solutions	Overall	Advertising &amp; Marketing	Business Services	13	2.5	2.3	2.6	2.3	1.7	2.0	0.3	Chris Nozet	44
Snap Retail	Overall	Internet	Information Technology	12	2.4	3.1	3.8	2.4	2.0	2.1	0.4	Tara Ronel	0
Kantar Retail	Overall	Consulting	Business Services	15	3.7	4.0	3.5	3.8	3.2	3.2	0.8	Wayne Levings	88
Discount Retail Store Services	Overall	Consulting	Business Services	12	3.6	3.3	3.5	3.0	3.7	3.5	0.7	James Wichert	41
Schurman Retail Group	Overall	Gift, Novelty &amp; Souvenir Stores	Retail	13	2.6	2.6	2.7	1.7	2.3	1.6	0.3	Dominique Schurman	38
Wolf Retail Solutions	Overall	Consulting	Business Services	11	4.6	3.8	3.7	3.8	3.4	3.7	0.8	Thomas Robinson Jr.	0
Powerhouse Retail Services	Overall	Advertising &amp; Marketing	Business Services	12	3	0.0	0.0	0.0	0.0	0.0	0.0		
RetailComm	Overall	Advertising &amp; Marketing	Business Services	11	3.1	2.9	2.4	2.6	3.3	2.9	0.5	Russell Davis	46
Retail Properties of America	Overall	Real Estate	Real Estate	9	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Steven P. Grimes	75
Retail Concepts	Overall	Sporting Goods Stores	Retail	9	3.4	0.0	0.0	0.0	0.0	0.0	0.0		
Horizon Retail Construction	Overall	Construction	Construction, Repair &amp; Maintenance	9	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Patrick Christensen	33
LS Travel Retail North American	Overall	Department, Clothing, &amp; Shoe Stores	Retail	22	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Gerry Savaria	44
XSRE	Overall	Consumer Products Manufacturing	Manufacturing	8	1.7	0.0	0.0	0.0	0.0	0.0	0.0	Sam Dushey	0
Efficient Collaborative Retail Marketing	Overall	Advertising &amp; Marketing	Business Services	8	1.9	0.0	0.0	0.0	0.0	0.0	0.0	Greg Farrar	0
Surf Style Retail Management	Overall	Department, Clothing, &amp; Shoe Stores	Retail	9	1.6	0.0	0.0	0.0	0.0	0.0	0.0	Avraham Ovaknin	0
Retail Solutions	Overall	Consulting	Business Services	10	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Jon Golovin	100
Mercury Retail Services	Overall	Consulting	Business Services	7	2	0.0	0.0	0.0	0.0	0.0	0.0	Trey Holder	0
ARBA Retail Systems	Overall	Computer Hardware &amp; Software	Information Technology	7	3.3	0.0	0.0	0.0	0.0	0.0	0.0	Arshad S. Osmani	0
www.Glasses.com	Overall	Other Retail Stores	Retail	7	4.2	0.0	0.0	0.0	0.0	0.0	0.0	Carlo Privitera	0
Wink NYC	Overall	Department, Clothing, &amp; Shoe Stores	Retail	8	2.5	0.0	0.0	0.0	0.0	0.0	0.0	Stephen Werther	0
Retail Decisions	Overall	Lending	Finance	11	3.2	0.0	0.0	0.0	0.0	0.0	0.0	Paul Stanley	46
gategroup	Overall	Transportation Management	Transportation &amp; Logistics	12	1.7	0.0	0.0	0.0	0.0	0.0	0.0	Xavier Rossinyol	0
Bunzl	Overall	Trucking	Transportation &amp; Logistics	40	2.3	2.2	2.7	2.3	3.1	2.1	0.3	Pat Larmon	57
Streetsense	Overall	Real Estate	Real Estate	6	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Marc Ratner	100
Rhodes Retail Services	Overall	Accounting	Accounting &amp; Legal	7	3.6	0.0	0.0	0.0	0.0	0.0	0.0		
National Retail Systems, Inc.	Overall	Trucking	Transportation &amp; Logistics	7	2.1	0.0	0.0	0.0	0.0	0.0	0.0	Ray Wisniewski	100
National Retail Federation	Overall	Membership Organizations	Business Services	7	3.6	0.0	0.0	0.0	0.0	0.0	0.0	Terry J. Lundgren	81
Telstra	Overall	Telecommunications Services	Telecommunications	293	3.7	0.0	0.0	0.0	0.0	0.0	0.0	David Thodey	93
Credibly	Overall	
Apogee Retail	Overall	Department, Clothing, &amp; Shoe Stores	Retail	5	3	0.0	0.0	0.0	0.0	0.0	0.0		
Retail Imaging	Overall	Computer Hardware &amp; Software	Information Technology	5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Brad Eamon	77
AEON	Overall	Department, Clothing, &amp; Shoe Stores	Retail	18	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Motoya Okada	73
GAME Digital	Overall	Consumer Electronics &amp; Appliances Stores	Retail	67	3.9	0.0	0.0	0.0	0.0	0.0	0.0	Martyn Gibbs	88
Airport Retail Management	Overall	Department, Clothing, &amp; Shoe Stores	Retail	5	3	0.0	0.0	0.0	0.0	0.0	0.0	Bob Crews	54
Renault	Overall	Industrial Manufacturing	Manufacturing	168	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Carlos Ghosn	66
SAS Retail	Overall	Advertising &amp; Marketing	Business Services	4	2	0.0	0.0	0.0	0.0	0.0	0.0		
